name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Drew Davis,LB,11-May,223,5.26,4.51,29.1,41,22,86.1
Grant Dawson,LB,Jun-00,225,4.85,4.53,34.9,32.5,8,86.1
Ryan Rosborough,CB,5-8.5,174,4.66,4.27,35.4,30,3,86.1
Jabari Nelson,S,10-May,170,4.81,4.21,34.5,33,8,86.07
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Folarin Orimolade,LB,11-May,207,4.81,4.59,31.4,38,17,86.07
Cody Etze,DL,3-Jun,220,4.78,4.63,32.5,36,13,86.04
Franza Whitfield,RB,5-7.5,163,4.8,4.21,35.2,33,8,86.04
Jake Mccrary,WR,Jun-00,183,4.65,4.65,34,36.5,14,86.01
Ernest Pendleton,RB,10-May,172,4.62,4.5,33,36,13,86.01
Geremiah Satele,RB,6-May,196,4.81,4.13,28.4,33.5,9,86.01
Daniel Young,S,1-Jun,201,4.79,4.58,33.1,37,15,86.01
Devan Stubblefield,WR,10-May,172,4.51,4.47,33.4,32,7,85.95
Marcus Ward,RB,7-May,168,4.73,4.44,34.8,36,13,85.92
Jackie Childs,WR,Jun-00,185,4.82,4.52,38.3,33.5,9,85.89
Nick Colvin,QB,6-2.5,194,4.77,4.22,29.3,34,10,85.89
Talvin Morton,CB,9-May,161,4.78,4.28,36.3,33,8,85.89
Riley Garner,S,2-Jun,181,4.86,4.25,32.8,35,12,85.86
Jordan Germany,RB,5-9.5,192,4.72,4.52,30.7,37.5,16,85.86
Steven Holman,LB,5-10.5,198,4.74,4.44,35.2,32,7,85.83
Markus Webb,WR,5-10.5,172,4.65,4.69,39.2,33.5,9,85.8
Deshane Cruse,CB,10-May,179,4.79,4.41,35.3,35,12,85.77
Shane Haley,TE,2-Jun,227,4.9,4.35,28.6,36,13,85.74
Myles Lattin,LB,1-Jun,170,4.66,4.22,30.9,33,8,85.74
Ryan Noonan,QB,6-1.5,198,4.72,4.43,31.2,35,12,85.74
Masley Pape,DL,5-9.5,174,4.69,4.32,35.2,31.5,6,85.74
Mario Tackett,LB,1-Jun,203,4.92,4.55,34,37.5,16,85.71
Lance Brown,RB,9-May,176,4.79,4.5,36.7,35.5,13,85.68
Myles Garrett,DE,6-4.5,236,5.08,4.94,34,39.5,19,85.68
Logan Moragne,RB,8-May,174,4.77,4.22,34.2,32,7,85.68
Morgan Bungdus,WR,3-Jun,194,4.86,4.43,31.4,37.5,16,85.65
Jalyn Judkins,WR,2-Jun,207,4.9,4.4,31.1,36.5,14,85.65
Brandon Kublanow,OL,3-Jun,289,5.44,4.72,28.6,38,17,85.65
Jamiah Nelson,RB,8-May,168,4.76,4.35,32,37,15,85.65
Joshua Harris,CB,Jun-00,190,4.72,4.66,35.6,36,13,85.62
Craig Mackey,CB,11-May,172,4.82,4.36,31.3,38,17,85.62
Michael Barmore,RB,8-May,179,4.75,4.4,30.5,37.5,16,85.59
Corey Hall,S,9-May,159,4.78,4.15,33.3,33,8,85.59
Bj Fashola,S,Jun-00,190,4.7,4.34,33.1,32,7,85.56
Christian Morris,OL,6-Jun,293,5.4,4.86,24.1,46,30,85.56
Antoine Chivers,LB,5-10.5,201,4.63,4.44,29.7,34,10,85.53
Curtis Gaines,LB,Jun-00,207,4.77,4.41,26.9,38,17,85.53
James King,CB,10-May,161,4.7,4.24,33.9,32.5,8,85.53
Dane Cruikshank,WR,6-.5,174,4.65,4.1,29.4,31,5,85.5
Brennan Farley,TE,6-2.5,194,4.85,4.44,32.4,37,15,85.5
Kwadarrius Smith,CB,5-8.5,150,4.68,4.22,33.2,33.5,9,85.5
Tony Whitehead,WR,6-1.5,203,4.69,4.44,28.2,36.5,14,85.5
Jake Bumguardner,WR,11-May,161,4.63,4.26,30.9,34,10,85.47
Tre Garner,RB,5-3.5,128,4.53,4.06,32.4,30,3,85.47
Cody Ennis,QB,6-4.5,229,5.27,4.53,27.1,41.5,23,85.44
Charlie Kelly,WR,6-May,168,4.92,4.18,31,37,15,85.44
Myloe Lewis,RB,5-8.5,176,4.78,4.21,31.4,34,10,85.44
Joe Marconi,S,5-10.5,174,4.85,4.23,33.6,34,10,85.44
Jalen Fox,CB,10-May,172,4.81,4.3,34.5,34,10,85.41
Daniel Fish,S,1-Jun,196,4.86,4.1,29.9,32,7,85.38
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Brendan Yaley,RB,11-May,179,4.74,4.33,31.9,35,12,85.35
Kolbi Brown,CB,5-10.5,174,4.93,4.17,29.9,37,15,85.32
Justin Ruffin,RB,9-May,183,4.63,4.55,32.4,35.5,13,85.32
Michael Bocksnick,QB,Jun-00,172,4.7,4.23,32.7,32,7,85.29
Robert Gardner,S,7-May,174,4.52,4.41,34.6,30,3,85.29
Keenan Adkins,RB,5-8.5,159,4.8,4.25,36.6,32.5,8,85.26
La Quvionte Gonzalez,WR,10-May,148,4.56,4.5,36.2,34,10,85.26
D'juan Hines,QB,1-Jun,190,4.86,4.43,34,36,13,85.23
Tracy Johnson,QB,1-Jun,161,5.07,4.21,31.6,39.5,19,85.23
Luke Davis,S,1-Jun,194,4.8,4.34,30.7,35.5,13,85.2
Deshawn Evans,DE,3-Jun,207,4.94,4.75,29.8,41,22,85.2
Kyle Presnick,S,11-May,194,4.82,4.38,30.7,36.5,14,85.2
Marcelis Logan,CB,9-May,168,4.53,4.37,32.6,31.5,6,85.17
Malik Tipler,DB,9-May,194,4.95,4.32,32.8,36,13,85.17
Treveon Hall,DL,5-8.5,227,5.03,4.68,33.2,38,17,85.14
Stavany Joseph,S,10-May,176,4.85,4.41,37.4,34,10,85.14
Trent Smart,TE,3-Jun,223,4.83,4.75,32.8,37,15,85.14
Jamell Garrett,S,10-May,170,4.78,4.43,33.6,37,15,85.11
Toiva Tufaga,DL,11-May,251,5.08,4.81,29.4,40,20,85.11
Kye Hall,LB,10-May,179,5.03,4.18,31.1,37,15,85.08
Hafoka Olie,DL,11-May,271,5.56,4.56,33,34.5,11,85.08
Jaquan Cole,RB,7-May,172,4.66,4.44,32.4,35.5,13,85.05
Jourdan Lewis,CB,10-May,159,4.68,4.34,32,36,13,85.05
Kyle Loechel,LB,1-Jun,216,4.91,4.27,29.6,34.5,11,85.05
Donald Alexander,RB,10-May,170,4.69,4.22,31.2,33,8,85.02
Trevon Reid,QB,1-Jun,203,4.59,4.56,27.1,37,15,85.02
Marcelis Logan,RB,9-May,163,4.55,4.29,34,30,3,84.99
Samuel George,LB,6-1.5,220,4.95,4.36,29.9,36,13,84.96
Reece Mahaffy,S,5-8.5,174,4.87,4.16,30.9,35,12,84.96
Bivins Caraway Iii,QB,5-10.5,209,5.07,4.34,28.7,39,18,84.93
Joshua Knight,WR,1-Jun,172,4.89,4.22,33.1,35,12,84.93
Hayes Linn,S,Jun-00,165,4.8,4.15,34.9,31,5,84.93
Nick King,LB,Jun-00,216,4.9,4.55,31.3,37.5,16,84.9
Akram Williams,LB,5-11.5,214,4.76,4.63,31.3,36.5,14,84.9
Francis Kim,S,10-May,181,4.92,4.35,31.7,38,17,84.87
Deon Thompson,RB,5-8.5,172,4.58,4.4,34,31.5,6,84.87
Forrest Town,RB,5-10.5,172,4.78,4.28,35.6,32,7,84.87
Malik Foreman,WR,10-May,163,4.57,4.31,32.8,31.5,6,84.84
David Starkey,RB,Jun-00,207,4.93,4.44,31.5,37,15,84.84
Kevin Bass,CB,8-May,181,4.79,4.39,29.8,38,17,84.78
Rashadeem Gray,RB,9-May,161,4.55,4.41,31.5,34.5,11,84.78
Mitch Lomax,LB,4-Jun,227,4.95,4.39,24.9,39.5,19,84.78
Joshua Kalu,S,Jun-00,161,4.91,4.2,35.1,34.5,11,84.75
Cameron Townsend,LB,Jun-00,185,4.66,4.53,33.8,34,10,84.75
Darryl Campbell,WR,2-Jun,181,4.69,4.37,31.9,34,10,84.72
Ray Davison,LB,2-Jun,198,4.74,4.35,30.3,34,10,84.72
John King,RB,5-9.5,194,4.83,4.47,32.1,37,15,84.72
Rondreco Little,CB,6-May,150,4.78,4.31,38,33,8,84.72
Gino Tortora,RB,10-May,168,4.66,4.43,34.1,34,10,84.72
Brennan Williams,DE,Jun-00,251,4.93,4.9,28,40,20,84.72
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Shakir Soto,DE,3-Jun,229,5.02,4.82,27.9,42,23,84.69
Ryan Cooper,CB,7-May,157,4.85,4.28,38.9,32,7,84.66
Corey Timmons,S,1-Jun,196,4.78,4.45,30.8,36.5,14,84.66
Jonathan Williams,RB,5-7.5,146,4.61,4.26,33.9,32.5,8,84.66
Christian Miller,LB,2-Jun,185,4.92,4.63,33.6,40,20,84.63
Nick Mills,TE,6-3.5,190,4.98,4.53,28.2,41.5,23,84.63
Kenyan Davis,CB,10-May,159,4.69,4.28,34.9,32,7,84.6
Shahid Hoover,RB,9-May,194,4.7,4.56,31.3,36.5,14,84.6
Shane Pooler,RB,5-May,157,4.79,4.43,37.8,35,12,84.6
Wayne Thomas,WR,Jun-00,168,4.68,4.35,34,33,8,84.6
Joel Bouagnon,RB,2-Jun,225,4.9,4.49,30.9,36,13,84.57
Kevonte Collier,CB,5-May,137,4.58,4.38,38.8,31,5,84.57
Keandre Vaughn,RB,8-May,172,4.7,4.28,33,32.5,8,84.57
Mikal Cromartie,WR,8-May,161,4.98,4.26,38.2,33.5,9,84.54
Ty'ronte Files,RB,5-May,176,4.84,4.38,33.8,36,13,84.54
Tristen Cockrell,QB,Jun-00,196,4.84,4.5,33.6,36,13,84.51
Cameron Lewis,WR,Jun-00,227,4.95,4.16,28.4,32,7,84.51
Justice Owens,WR,5-8.5,161,4.57,4.38,32.7,33,8,84.51
Tre' Maine Burns,RB,5-7.5,159,4.63,4.25,34,31,5,84.48
Courtney Guillebeaux,CB,8-May,163,4.71,4.41,30.6,38,17,84.48
Granyl Smith,RB,11-May,218,4.74,4.7,28.9,38,17,84.48
Jalen Webster,S,10-May,172,4.78,4.25,32.1,34,10,84.48
Travis Daugherty,S,2-Jun,194,4.89,4.43,34.1,35.5,13,84.45
J.R. Griffin,WR,5-9.5,181,4.78,4.33,31.5,35.5,13,84.45
Carson Tunney,WR,Jun-00,183,4.68,4.27,31.1,32,7,84.45
Patrick Cheek,RB,10-May,172,4.7,4.36,29.8,36.5,14,84.42
Shakeem Copeland,RB,9-May,192,4.71,4.5,31.6,36,13,84.42
Weston Garner,QB,1-Jun,185,4.91,4.22,29,37,15,84.42
Jake Hawken,DE,6-3.5,207,4.87,4.54,30.7,38,17,84.42
Cj Yonek,LB,9-May,185,4.86,4.32,31.7,36,13,84.42
Ja Colbie Butler,RB,5-8.5,161,4.5,4.37,31.3,32,7,84.39
Trent Holmes,RB,6-May,172,4.67,4.44,34.4,33.5,9,84.39
Nicholas Johnson,RB,8-May,157,4.55,4.75,36.5,35.5,13,84.33
Carson Smallood,LB,Jun-00,192,4.85,4.28,31.6,34,10,84.3
Brady Swilling,QB,1-Jun,190,4.83,4.24,30.6,34,10,84.3
Austin Tankersley,LB,11-May,185,4.88,4.28,33.1,34,10,84.27
Jamal Dorvilier,WR,Jun-00,168,4.72,4.57,38.2,34,10,84.24
Patrick Giddens,LB,7-May,161,4.66,4.5,34.5,35.5,13,84.24
Garrett Smith,WR,6-.5,174,4.91,4.37,35,36,13,84.21
Justin Arroyo,CB,5-8.5,185,4.77,4.41,32.9,35,12,84.18
Austin Stone,WR,11-May,179,4.74,4.56,35.1,35.5,13,84.18
Aaron Piper,RB,5-10.5,172,4.67,4.19,33.6,29.5,3,84.15
Marcus Spearman,CB,Jun-00,192,4.8,4.58,33.2,37,15,84.15
Korey Charles,RB,9-May,154,4.76,4.26,35.9,32.5,8,84.12
Israel Green,RB,8-May,216,5.09,4.34,32.6,35,12,84.12
Dan Medvetz,S,Jun-00,198,4.84,4.52,33.4,36,13,84.12
Michael Ball,RB,8-May,165,4.67,4.36,33.8,33,8,84.09
Donte Golson Goodman,CB,5-9.5,168,4.8,4.5,38.6,34,10,84.09
Alvin Moore,LB,5-11.5,176,4.55,4.47,33,32,7,84.09
Donta Rodriguez,RB,10-May,161,4.77,4.35,36.3,33.5,9,84.09
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Jamar Summers,WR,11-May,170,4.73,4.32,32.9,34,10,84.09
Darius Sanders,CB,9-May,152,4.6,4.47,34.3,35,12,84.06
Chris Bednarski,CB,1-Jun,183,4.93,4.26,31.8,36,13,84.03
J Mon Moore,WR,2-Jun,168,4.63,4.48,31.9,36,13,84.03
Delvin Purifoy,LB,2-Jun,212,4.7,5.04,35.3,35.5,13,84.03
Devin Black,LB,2-Jun,203,5.04,4.5,27.5,41,22,84
Peter Angeh,DE,6-1.5,238,5.07,5.03,30.6,40.5,21,83.97
Johnny David,CB,10-May,161,4.88,4.37,33.1,38,17,83.97
Justin Hornsby,DE,Jun-00,198,4.8,4.34,30.8,34,10,83.97
Ervin Alston,LB,Jun-00,192,4.96,4.1,32,31.5,6,83.94
Jordan Bond,RB,10-May,192,4.76,4.21,31.6,31,5,83.94
Kyle Shanahan,RB,5-9.5,181,4.61,4.41,32.8,32,7,83.94
Demarcus Walker,DL,4-Jun,280,5.04,5,30.6,36,13,83.94
Irving Adams,S,10-May,187,4.77,4.34,29.7,36,13,83.91
Carl Blatnik,LB,Jun-00,183,4.63,4.58,33.2,34.5,11,83.91
Kevin De Walt,DE,1-Jun,247,5.14,4.81,27.3,41,22,83.91
Brad Harris,WR,3-Jun,190,4.87,4.4,32.7,36,13,83.91
Joseph Holmes,DE,2-Jun,198,4.85,4.33,30.8,35,12,83.91
Dylan Wears,RB,9-May,181,4.84,4.2,28.8,36,13,83.91
Jacoby Davis,RB,8-May,170,4.47,4.6,32.8,33,8,83.88
Jamal Whittaker,DL,Jun-00,236,4.91,4.63,32,35.5,13,83.88
Landon Gyulay,WR,10-May,172,4.71,4.37,35.3,32,7,83.85
Matthew Santer,S,1-Jun,172,4.69,4.26,30.9,33,8,83.85
Anthony Gutierrez,LB,6-.5,185,4.82,4.33,31.3,35.5,13,83.82
Josh Matthews,RB,8-May,214,4.93,4.55,32.3,37,15,83.82
Austin Mc Chesney,S,Jun-00,159,4.83,4.25,35.8,33,8,83.82
Justin Johnson,QB,1-Jun,187,4.74,4.39,29.9,36,13,83.79
De Mario Harris Jr,RB,5-11.5,196,5.04,4.29,33.9,34.5,11,83.76
Raekwon Mc Clellan,TE,11-May,249,5.08,4.53,30.8,35.5,13,83.76
Brian Whitaker,DE,3-Jun,231,4.98,4.78,35.1,35,12,83.76
Braden Calip,CB,8-May,176,4.6,4.22,29.8,31,5,83.73
Errol Dennis,RB,5-7.5,141,4.73,4.32,40,31,5,83.73
Kendall Sawyer,RB,11-May,176,4.69,4.5,31.1,37,15,83.73
Christian Gibbs,WR,Jun-00,170,4.8,4.53,33.6,38,17,83.7
Evan Byrd,CB,11-May,165,4.86,4.26,34.5,34,10,83.67
Brandan Campbell,LB,5-10.5,220,4.93,4.33,28.7,35.5,13,83.67
Jesse Kruger,TE,2-Jun,187,4.7,4.55,35.4,33,8,83.67
Sojourn Shelton,CB,5-9.5,150,4.68,4.19,34.4,31,5,83.67
Aaron Davis,DB,11-May,176,4.62,4.26,31.1,31,5,83.64
Nytrellis Ross,CB,5-11.5,179,4.85,4.3,34.1,33.5,9,83.64
Cole Lombardo,RB,8-May,190,4.61,4.53,33.2,32.5,8,83.61
Blake Wallace,WR,5-11.5,183,4.93,4.13,28.7,35.5,13,83.61
Dillon Headrick,RB,11-May,187,4.84,4.39,29.2,38,17,83.58
George Porter,RB,5-8.5,161,4.7,4.31,33.2,33.5,9,83.58
Jordan Lewandowski,WR,6-.5,192,4.87,4.22,28.7,35.5,13,83.55
Bryan Tirado,LB,10-May,185,4.75,4.44,31.8,35.5,13,83.55
Lorenzo Featherston,TE,6-6.5,203,4.83,4.91,38.2,35,12,83.52
Jamal Fofanah,CB,5-May,143,4.62,4.23,33.3,32,7,83.49
Jamarlon Hamilton,RB,9-May,214,4.96,4.59,33,37,15,83.49
Kyle Kaminski,S,6-1.5,183,4.76,4.34,29.6,36,13,83.49
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Nicholas Lima,CB,5-8.5,168,4.61,4.45,33.8,33,8,83.46
Chantz Marlatt,RB,1-Jun,196,4.89,4.41,32.8,35.5,13,83.46
Jevius Terry,CB,8-May,152,4.59,4.22,31,32,7,83.46
Kennedy Usoro,LB,5-8.5,234,5.15,4.84,28.4,42.5,24,83.46
Jakob Certeza,RB,10-May,203,4.68,4.55,30.6,35,12,83.43
Chandler Powell,WR,6-.5,174,4.8,4.07,32.2,30,3,83.43
Jason Totaram,CB,8-May,152,4.85,4.15,34.3,33,8,83.43
Jalen Brown,WR,1-Jun,174,4.88,4.29,31.4,36.5,14,83.4
Brian Dillon,DE,1-Jun,243,5.21,4.46,27.7,39,18,83.4
Denver Kirkland,OL,4-Jun,333,5.63,5.15,20.7,41.5,23,83.4
Zaire Lewis,WR,1-Jun,192,4.83,4.67,27.7,41,22,83.4
Cameron Livingston,WR,2-Jun,181,4.74,4.39,33.8,33,8,83.4
Monte Bell,DL,11-May,245,4.89,4.54,26.8,37,15,83.34
Martinez Butler,CB,6-May,161,4.77,4.24,36.6,30.5,4,83.34
Cequan Jefferson,CB,10-May,161,4.67,4.53,36.4,34,10,83.34
Chico Mcclatcher,RB,5-7.5,163,4.47,4.47,31.7,32,7,83.34
Kyle Norberg,LB,6-.5,205,4.91,4.33,30.2,35.5,13,83.34
Tyler Piktel,RB,8-May,183,4.83,4.3,26.9,38,17,83.34
Tyler Shook,RB,10-May,168,4.69,4.17,29.5,32.5,8,83.31
Brandon Spatz,WR,5-11.5,194,4.58,4.31,26,33,8,83.28
Robert Wilkes,RB,Jun-00,192,4.88,4.4,32.8,35.5,13,83.28
Trenton Williams,WR,5-9.5,176,4.8,4.4,33.2,35.5,13,83.28
Spencer Andrews,TE,1-Jun,231,5.16,4.56,24.9,42,23,83.25
Christopher Hall,TE,5-11.5,229,4.87,4.37,27.3,35,12,83.25
Ariel Hercik,LB,10-May,183,4.86,4.23,31.1,34,10,83.25
Marlon Page,CB,7-May,159,4.78,4.22,36.1,31,5,83.22
Jamal Blackmon,RB,5-7.5,172,4.72,4.38,33.7,33.5,9,83.19
Michael Edwards,LB,5-10.5,240,5.1,4.35,30,34,10,83.19
Justin Harrison,LB,6-.5,220,4.93,4.5,28.5,38,17,83.19
Austin Hawkins,CB,8-May,168,4.74,4.34,32.1,35,12,83.19
David Sweetman,S,9-May,172,4.61,4.59,31.8,36.5,14,83.19
Ryan Dick,QB,10-May,170,4.65,4.41,36.6,30.5,4,83.16
Kobe Mc Crary,RB,11-May,207,4.86,4.47,32.1,35,12,83.13
Brian Denmark,LB,3-Jun,196,4.7,4.37,26.8,36,13,83.1
Colton Rebel,WR,2-Jun,187,4.73,4.46,30.6,36,13,83.1
Corey Griffin,S,1-Jun,183,4.91,4.47,33.9,37,15,83.07
Jeremy Lacey,WR,Jun-00,181,4.87,4.33,33.9,34,10,83.07
Justin Arroyo,S,5-8.5,187,4.77,4.44,32.4,35,12,83.04
Uaea Masina,LB,2-Jun,205,4.77,4.44,32.1,33,8,83.04
Erik Swanson,DE,2-Jun,225,4.89,4.47,31,34.5,11,82.98
Khalil Thomas,RB,5-6.5,170,4.69,4.31,30.9,34,10,82.98
Von Walker,RB,Jun-00,194,4.78,4.42,28.7,37,15,82.98
Elijah Garcia,WR,5-9.5,150,4.61,4.2,34.8,29.5,3,82.95
Adam Niemeyer,QB,2-Jun,187,4.91,4.46,30.5,39,18,82.95
Brandon Payne,RB,9-May,220,4.66,4.47,30.2,31,5,82.95
Jordan Washington,WR,10-May,179,4.72,4.43,32.1,35,12,82.95
Cedric Dale,WR,9-May,170,4.68,4.47,33.2,35,12,82.92
Cory James,QB,Jun-00,205,4.69,4.36,29.9,31.5,6,82.92
Jake Raulerson,OL,6-4.5,262,5.18,4.54,26.2,39,18,82.92
Marcel Watson,LB,5-9.5,196,4.99,4.37,33.5,35,12,82.92
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Nigel Easley,RB,7-May,152,4.84,4.38,29.9,40,20,82.89
Deshaun Roberts,WR,1-Jun,183,4.74,4.22,28.6,33.5,9,82.89
Stoney Hawkins,TE,3-Jun,201,5.05,4.53,34.8,37,15,82.86
Avery Howsare,RB,1-Jun,190,4.97,4.47,30.7,39.5,19,82.86
Jamal Morrow,RB,5-7.5,176,4.84,4.24,32,33.5,9,82.86
Jayme Thompson,S,2-Jun,183,4.77,4.4,32.9,34,10,82.86
Jordan Swan,DE,6-.5,205,4.85,4.59,33.9,35.5,13,82.83
Andrew Mehr,S,10-May,163,4.62,4.36,28.5,36,13,82.8
Xavier Hogan,CB,8-May,154,4.59,4.28,32.4,31.5,6,82.77
Harry Brown,LB,11-May,198,4.83,4.38,31.6,34,10,82.74
Cristian Morris,RB,6-.5,170,4.56,4.6,35.6,32,7,82.74
Roman Tatum,CB,9-May,161,4.73,4.13,31.8,31,5,82.74
Justin Williams,RB,9-May,203,4.74,4.75,29.5,39,18,82.71
Grant Geddie,LB,6-.5,236,5.03,4.56,27.9,39,18,82.68
Taylor Marini,TE,4-Jun,227,4.82,4.47,29,34.5,11,82.68
Keoni Piceno,WR,7-May,161,4.6,4.37,32.6,32.5,8,82.68
Jerome Baker Jr,RB,1-Jun,187,4.67,4.55,31.7,35,12,82.65
Jeremy Boykins,CB,6-1.5,168,4.67,4.5,34,34.5,11,82.65
Bill Cecil,LB,5-10.5,201,4.93,4.38,31.3,36,13,82.65
Oliver Pierce,WR,9-May,163,4.74,4.06,31.3,30,3,82.65
Miles Flowers,S,10-May,154,4.76,4.2,36,30.5,4,82.62
Wesley Green,CB,5-10.5,165,4.7,4.15,33.7,29,2,82.59
Reed Haubert,WR,11-May,165,4.71,4.38,33.3,34,10,82.59
Xavier Jones,RB,5-6.5,183,4.66,4.41,28.4,36,13,82.59
Christopher Lowery,WR,6-.5,198,4.76,4.56,32.1,35.5,13,82.59
Justin Williams,RB,9-May,192,4.77,4.35,28.3,36,13,82.59
Robert Herzog Iii,CB,10-May,176,4.7,4.49,30.9,36.5,14,82.56
Shaquille Gibson,DB,9-May,181,4.73,4.23,31.7,31,5,82.53
Ashton Jackson,RB,9-May,179,4.76,4.15,30.6,31,5,82.5
Ryan Leroy,LB,5-10.5,203,4.95,4.31,32.1,33.5,9,82.5
Vince Njoku,CB,1-Jun,201,4.83,4.32,33.6,31,5,82.5
Tavon Ross,QB,5-11.5,194,4.76,4.52,34.6,33,8,82.5
Ryan Rubley,QB,6-2.5,187,4.69,4.24,27.9,32.5,8,82.5
Brad Watson,CB,6-.5,170,4.88,4.24,34,33,8,82.5
Jamal Adjamah,RB,5-8.5,179,4.74,4.59,35.1,35,12,82.47
Jake Gallagher,S,5-11.5,187,4.75,4.46,33.2,33.5,9,82.44
John Maddaluna,WR,Jun-00,157,4.76,4.22,30,35.5,13,82.44
William Barnes,RB,10-May,185,4.87,4.38,36.2,32,7,82.41
Robert Glanville,LB,6-.5,194,4.87,4.36,31.7,34.5,11,82.41
Zach La Bar,QB,11-May,181,4.97,4.13,29.4,35,12,82.41
Landry Taylor,CB,5-8.5,163,4.78,4.4,31.7,37,15,82.41
Justin Barlow,DE,6-1.5,229,5.15,4.75,27.1,42,23,82.38
Joe Rodgers,S,11-May,201,4.89,4.3,28.9,35.5,13,82.38
Travon Simmons,CB,10-May,170,4.69,4.2,31.6,31,5,82.38
Tj Boothe,CB,Jun-00,183,4.86,4.27,27.9,37,15,82.35
Justin Da Silva,RB,5-5.5,157,4.86,4.21,35.5,32.5,8,82.35
David Kelcy,WR,2-Jun,174,4.95,4.34,33,36.5,14,82.35
Terrell Lewis,S,6-.5,201,4.75,4.37,32.6,31,5,82.35
Mohamed Camara,LB,1-Jun,201,5.24,4.43,32.8,38.5,18,82.32
Sekou Clark,DE,3-Jun,216,4.86,4.28,30.7,31,5,82.32
